Model,Mean_Accuracy,Mean_Macro_F1,Std_Macro_F1,Mean_Weighted_F1
KNN,0.8015003471509043,0.5405047119344912,0.004626368324247115,0.7993589433289091
Classification Tree,0.8103099658280971,0.588710856674779,0.004829031170384975,0.8057858858457084
