mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
90.60664386749268,2.5138165998128894,0.7121372222900391,0.1036435030511049,4,10,"{'tree__min_samples_leaf': 4, 'tree__min_samples_split': 10}",0.5961150509194642,0.5891848019470927,0.5869566105691868,0.5901055106373232,0.581192309300828,0.588710856674779,0.004829031170384975,1,0.6951612166401304,0.7020554805557315,0.701499884303122,0.6955753574437361,0.6961254979806613,0.6980834873846764,0.003036860295324087
87.65513963699341,3.9218430846557326,0.6405395030975342,0.14094483476363062,4,12,"{'tree__min_samples_leaf': 4, 'tree__min_samples_split': 12}",0.5971054076093161,0.5855671258518299,0.5878004741656075,0.5861274706827033,0.5856401462085555,0.5884481249036025,0.004403142769118489,2,0.691268108538425,0.6955201833175523,0.6948543060193837,0.6889474044284684,0.6891660260452341,0.6919512056698127,0.002771723731518833
91.57303953170776,5.306177027451467,0.5372536659240723,0.05921983226523372,4,15,"{'tree__min_samples_leaf': 4, 'tree__min_samples_split': 15}",0.5980985328513456,0.5840215570042879,0.585408126673834,0.5881754118323979,0.5863957026917375,0.5884198662107206,0.005024923536700776,3,0.6828634925794274,0.6847414452957569,0.6833118502634619,0.6825967305551488,0.6813997968146562,0.6829826631016902,0.001083539590428173
100.08392210006714,3.8794685071333377,0.6355765342712403,0.05740550177011063,5,8,"{'tree__min_samples_leaf': 5, 'tree__min_samples_split': 8}",0.5843254804638647,0.5890682211204672,0.5906098103130681,0.5891557795613642,0.5823032762666386,0.5870925135450806,0.003197659438190642,4,0.6902546547595435,0.6957650050459596,0.6933228572489772,0.6914233979551014,0.6920006992455011,0.6925533228510166,0.0018853691323184975
100.93032431602478,4.986967353792862,0.6568871021270752,0.06696662436093241,5,10,"{'tree__min_samples_leaf': 5, 'tree__min_samples_split': 10}",0.5843254804638647,0.5890682211204672,0.5906098103130681,0.5891557795613642,0.5823032762666386,0.5870925135450806,0.003197659438190642,4,0.6902546547595435,0.6957650050459596,0.6933228572489772,0.6914233979551014,0.6920006992455011,0.6925533228510166,0.0018853691323184975
97.01350884437561,5.373937584676099,0.7674904346466065,0.14306470217822817,4,8,"{'tree__min_samples_leaf': 4, 'tree__min_samples_split': 8}",0.5953280183478107,0.5846619212792392,0.5865718593669342,0.5872522041883993,0.5790810173892866,0.586579004114334,0.00523246616750297,6,0.7012217057344619,0.7070512167703895,0.7074956920651616,0.6991753059958665,0.7015875955956147,0.7033063032322987,0.0033448466941396935
97.47003893852234,5.610698944316151,0.5966318130493165,0.10412241237295877,5,12,"{'tree__min_samples_leaf': 5, 'tree__min_samples_split': 12}",0.5799269121180867,0.5891746493184913,0.5892023983824966,0.5894293219657637,0.5843465388046839,0.5864159641179045,0.0037641785943130215,7,0.6859682327197285,0.6913443848073026,0.6888916299665453,0.6853125739829042,0.6874578553263562,0.6877949353605675,0.0021639738413638705
90.13236880302429,5.146599054511776,0.5881947040557861,0.04942082861343639,5,15,"{'tree__min_samples_leaf': 5, 'tree__min_samples_split': 15}",0.582154457345551,0.5864431104754828,0.5881416943842183,0.5829074256035289,0.5879480888881565,0.5855189553393876,0.002520850924684337,8,0.6783872642030483,0.6796034439587795,0.6787122896402508,0.6805902642497521,0.6804073362420359,0.6795401196587733,0.0008801427693937907
71.01114625930786,1.3144109718345711,0.36937646865844725,0.05364392461554736,6,15,"{'tree__min_samples_leaf': 6, 'tree__min_samples_split': 15}",0.5818758361455961,0.5853772288289306,0.5878068413779017,0.5840652941834519,0.5820382701405482,0.5842326941352857,0.0022128166292295377,9,0.6739419279853667,0.6788144565852295,0.6730329009192751,0.6730048356429797,0.6772156205810994,0.6752019483427901,0.002375913042486058
90.5336621761322,3.184420142401962,0.6271088123321533,0.05558446210567546,6,8,"{'tree__min_samples_leaf': 6, 'tree__min_samples_split': 8}",0.5834111454563994,0.5844273140488604,0.5900450701786981,0.5827000824390007,0.5729323361035266,0.582703189645297,0.005528952970420884,10,0.6781592542185729,0.6844527493120867,0.6816697438453809,0.6804330110594707,0.6833387782797179,0.6816107073430459,0.0022075513235867684
87.80675411224365,7.133699617169178,0.4547222137451172,0.05325227400032648,6,10,"{'tree__min_samples_leaf': 6, 'tree__min_samples_split': 10}",0.5834111454563994,0.5844273140488604,0.5900450701786981,0.5827000824390007,0.5729323361035266,0.582703189645297,0.005528952970420884,10,0.6781592542185729,0.6844527493120867,0.6816697438453809,0.6804330110594707,0.6833387782797179,0.6816107073430459,0.0022075513235867684
77.40896687507629,1.6395816846671234,0.36200270652770994,0.06332389576613304,6,12,"{'tree__min_samples_leaf': 6, 'tree__min_samples_split': 12}",0.5834111454563994,0.5844273140488604,0.5900450701786981,0.5827000824390007,0.5729323361035266,0.582703189645297,0.005528952970420884,10,0.6781592542185729,0.6844527493120867,0.6816697438453809,0.6804330110594707,0.6833387782797179,0.6816107073430459,0.0022075513235867684
