Model,Mean_Accuracy,Mean_Macro_F1,Std_Macro_F1,Mean_Weighted_F1
KNN,0.7894424283135066,0.5035685223083388,0.006077484149283832,0.7844480050558794
Classification Tree,0.8086799941602634,0.5809251916118685,0.003637684822292047,0.8053793479507965
