mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3700933933258057,0.03350679006034789,250.87119016647338,0.7748694449914816,manhattan,5,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.5402432829162459,0.5468532118383521,0.5330365777761304,0.5389683704819626,0.543422116659765,0.5405047119344912,0.004626368324247115,1
1.3456489086151122,0.020504360121253742,251.12679572105407,0.7506162724389916,manhattan,4,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 4, 'knn__weights': 'distance'}",0.5450379042438017,0.5406877395751545,0.5334914158824041,0.536428400824947,0.5370878719958169,0.5385466665044248,0.003972179528721066,2
1.3457998275756835,0.03140819232856049,249.63379168510437,1.4542262150767555,manhattan,6,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 6, 'knn__weights': 'distance'}",0.5354175017116608,0.5428599927361608,0.5238512033610048,0.5373772449169685,0.5348307269893741,0.5348673339430338,0.006194213514618878,3
1.3289502620697022,0.012850922088644792,237.73180327415466,1.0291083961961285,manhattan,7,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance'}",0.5282311874917169,0.5420622841707917,0.5238811387855603,0.5356183797591525,0.5377840759753907,0.5335154132365224,0.006579289299902975,4
1.4255671501159668,0.08432753969791114,251.41263914108276,0.6778369717515745,manhattan,3,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.5306474497932967,0.5257973059062141,0.5186453601784793,0.5286041623848018,0.5224968407775736,0.5252382238080731,0.004286790706631749,5
1.3742655754089355,0.029770809929832002,487.38697481155396,6.1106994798932845,euclidean,6,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 6, 'knn__weights': 'distance'}",0.5254665318211624,0.5255508605630516,0.5109183246334139,0.5298614752146115,0.5194796884218584,0.5222553761308195,0.006561366636542581,6
1.3713611125946046,0.026480034530724623,484.2077658176422,4.879116263668842,euclidean,7,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'distance'}",0.5221438508652848,0.523281849038119,0.5065063351131971,0.5320880732486578,0.5260223256654324,0.5220084867861383,0.008481337714699326,7
1.36804256439209,0.023837743507425815,482.3340817928314,4.0203172082738465,euclidean,5,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.5249346751157116,0.519062211447905,0.5156483662474897,0.5241711436311152,0.5257071530408619,0.5219047098966167,0.0038986566469468775,8
1.3575541496276855,0.024361683042376542,250.92146048545837,0.34185054486061633,manhattan,5,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.5172756508043422,0.5375716804678925,0.5057367482211971,0.5182160288252342,0.5174922417161862,0.5192584700069706,0.010260101904179515,9
1.4176775932312011,0.0361829637559258,506.9441870689392,19.036732723905487,euclidean,4,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 4, 'knn__weights': 'distance'}",0.5264240251730633,0.5167489713285058,0.5080738621002776,0.5208384770158047,0.516970729269904,0.517811212977511,0.005999927228948573,10
